Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Randy Vásquez","SDP",44.1,88.80407079646017,93.47218390804599,90.60485875706215,,109.61435114503816,104.15186813186813,85.47288888888889,,,96.13918750000002,95.98915625000001,92.93084375,"Randy Vasquez",24719,681190
"Kodai Senga","NYM",44.1,93.32775330396473,81.60418604651163,82.02330935251798,,83.0751282051282,60.109999999999985,,,110.67819095477388,93.6948201438849,96.07053237410072,93.906964028777,"Kodai Senga",31838,673540
"Bryce Elder","ATL",44,64.66519480519482,89.6164406779661,,,104.069718875502,,88.32000000000001,,,92.17884984025558,109.16492012779554,101.65405750798722,"Bryce Elder",27779,693821
"Antonio Senzatela","COL",43.2,79.43989389920425,67.16782608695652,,,100.22906976744187,103.99666666666666,74.84109589041097,,,85.57277142857146,105.82517142857142,93.696,"Antonio Senzatela",15488,622608
"Tanner Houck","BOS",43.2,78.83318181818184,98.0020134228188,,83.08957746478875,106.24030188679245,,,,,97.06354666666667,102.35813333333329,100.62925333333335,"Tanner Houck",19879,656557
"Cristopher Sánchez","PHI",43.1,,114.19170588235295,,,110.91706422018346,,115.2652589641434,,,114.04905444126074,94.94481375358167,110.927994269341,"Cristopher Sanchez",20778,650911
"Osvaldo Bido","ATH",43.1,94.57100719424461,92.53268817204302,102.71256410256409,,103.4592105263158,,77.14252873563217,,,94.99809941520469,95.29105263157895,91.36780701754387,"Osvaldo Bido",23150,674370
"Andre Pallante","STL",43.1,84.68278260869565,102.81084112149532,,,85.89263157894737,,,97.48857142857142,,89.07382395382398,103.51696969696971,96.8776911976912,"Andre Pallante",26108,669467
"Luis L. Ortiz","CLE",43.1,93.3145945945946,110.6684,86.52257575757575,,102.75842105263159,,98.86967741935483,,,97.62119891008173,95.23318801089918,93.225068119891,"Luis L. Ortiz",27646,682847
"Sean Burke","CHW",43.1,101.27578947368421,80.08961538461539,,,87.67051228738195,83.38059701492537,81.4490476190476,,,91.5903123123869,95.56817552096918,91.4617217550441,"Sean Burke",29878,680732
"Shane Smith","CHW",43.1,90.78759856630823,97.28418604651164,,,92.91615384615383,96.86884615384616,102.92736111111111,,,94.82571428571431,105.01245341614907,104.86518633540373,"Shane Smith",31687,681343
"Shane Baz","TBR",43,91.49391812865497,,,,105.74793103448276,,86.15932584269662,128.23893004115226,,108.78985343855695,100.51366403607666,110.26888387824125,"Shane Baz",22264,669358
"Jack Kochanowicz","LAA",43,83.46628930817612,97.59049833887043,,,97.76993548387098,,84.03533333333333,,,93.66410015649453,97.40885758998435,92.91480438184664,"Jack Kochanowicz",27688,686799
"Casey Mize","DET",42.2,94.32895833333333,107.69323943661973,,110.1101935483871,81.73573033707865,102.59122448979592,,,,99.42122516556294,102.31632450331131,102.17509933774834,"Casey Mize",20492,663554
"Reese Olson","DET",42.2,86.60968421052631,85.86115555555556,,,104.45169590643276,95.92850000000001,98.16086486486488,,,94.15910489510489,99.96534265734267,94.4471328671329,"Reese Olson",24968,681857
"Ronel Blanco","HOU",42.1,91.305905511811,,,,87.61078341013824,84.11657142857143,95.9331111111111,,,89.31911428571428,103.10980000000002,93.82297142857142,"Ronel Blanco",19407,669854
"Chad Patrick","MIL",42.1,104.52283870967742,95.79311258278146,106.57291925465837,,106.35111111111111,,85.31076923076924,,,102.58458375234646,102.06872720568516,103.08063673236792,"Chad Patrick",30113,694477
"Griffin Canning","NYM",42,79.33048780487805,84.85333333333334,90.71058823529411,,101.78867469879519,,101.3210975609756,88.42800000000001,,92.83873772791024,102.69918653576437,97.56546984572233,"Griffin Canning",19867,656288
"Gavin Williams","CLE",42,98.8308991825613,,89.09529411764704,,103.99906735751296,112.11614285714288,86.94,,,102.54175243393601,86.8204728789986,92.04083449235048,"Gavin Williams",30122,668909
